Country code,Country or area,Sort order,Major area,Code,Sort order,Region,Code,Sort order,Developed region,Least developed country,Sub-Saharan Africa,Small,Origin based on
332,Haiti,196,Latin America and the Caribbean,904,180,Caribbean,915,181,No,Yes,No,No,I
336,Holy See,160,Europe,908,127,Southern Europe,925,153,Yes,No,No,Yes,I
340,Honduras,213,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
348,Hungary,132,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
352,Iceland,145,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
356,India,102,Asia,935,71,Southern Asia,5501,98,No,No,No,No,E
360,Indonesia,89,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,I
364,Iran (Islamic Republic of),103,Asia,935,71,Southern Asia,5501,98,No,No,No,No,E
368,Iraq,114,Asia,935,71,Western Asia,922,108,No,No,No,No,E
372,Ireland,146,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
833,Isle of Man,147,Europe,908,127,Northern Europe,924,139,Yes,No,No,Yes,E
376,Israel,115,Asia,935,71,Western Asia,922,108,No,No,No,No,E
380,Italy,161,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
388,Jamaica,197,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
392,Japan,82,Asia,935,71,Eastern Asia,906,78,Yes,No,No,No,E
400,Jordan,116,Asia,935,71,Western Asia,922,108,No,No,No,No,E
398,Kazakhstan,73,Asia,935,71,Central Asia,5500,72,No,No,No,No,E
404,Kenya,14,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
296,Kiribati,250,Oceania,909,238,Micronesia,954,248,No,Yes,No,No,E
414,Kuwait,117,Asia,935,71,Western Asia,922,108,No,No,No,No,I
417,Kyrgyzstan,74,Asia,935,71,Central Asia,5500,72,No,No,No,No,E
418,Lao People's Democratic Republic,90,Asia,935,71,South-Eastern Asia,920,86,No,Yes,No,No,E
428,Latvia,148,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
422,Lebanon,118,Asia,935,71,Western Asia,922,108,No,No,No,No,I
426,Lesotho,49,Africa,903,7,Southern Africa,913,47,No,Yes,Yes,No,E
430,Liberia,62,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
434,Libya,42,Africa,903,7,Northern Africa,912,39,No,No,No,No,I
438,Liechtenstein,175,Europe,908,127,Western Europe,926,170,Yes,No,No,Yes,I
440,Lithuania,149,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
442,Luxembourg,176,Europe,908,127,Western Europe,926,170,Yes,No,No,No,E
450,Madagascar,15,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
454,Malawi,16,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
458,Malaysia,91,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,E
